,Jurisdiction of Occurrence,MMWR Year,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",Population
395,South Dakota,2022,6534.0,5939.0,0.0,1240.0,21.0,149.0,0.0,92.0,0.0,0.0,0.0,1340.0,114.0,417.0,277.0,905404.0
396,Tennessee,2014,69583.0,63779.0,957.0,15028.0,1825.0,2806.0,1804.0,4255.0,884.0,1120.0,909.0,16224.0,3746.0,0.0,0.0,6541223.0
397,Tennessee,2015,69869.0,63941.0,1034.0,14819.0,1876.0,3155.0,1828.0,4411.0,900.0,1163.0,907.0,16315.0,3765.0,0.0,0.0,6591170.0
398,Tennessee,2016,71075.0,64596.0,1046.0,14975.0,1945.0,3314.0,1665.0,4459.0,989.0,1209.0,899.0,15946.0,3883.0,0.0,0.0,6646010.0
399,Tennessee,2017,73404.0,66545.0,1101.0,14737.0,1967.0,3588.0,1760.0,4806.0,932.0,1198.0,915.0,16640.0,3882.0,0.0,0.0,6708799.0
400,Tennessee,2018,74574.0,67680.0,1055.0,14681.0,2079.0,3550.0,1788.0,4825.0,977.0,1207.0,1007.0,17043.0,3904.0,0.0,0.0,6771631.0
401,Tennessee,2019,75508.0,68083.0,937.0,14915.0,2214.0,3284.0,1424.0,4714.0,1099.0,1110.0,782.0,17500.0,3825.0,0.0,0.0,6829174.0
402,Tennessee,2020,89783.0,80749.0,1011.0,15107.0,2715.0,3717.0,1695.0,4765.0,1176.0,1131.0,884.0,18891.0,4154.0,8124.0,7462.0,6910840.0
403,Tennessee,2021,94721.0,84853.0,1134.0,14855.0,2739.0,2921.0,1307.0,4548.0,1120.0,1286.0,950.0,19087.0,4119.0,13475.0,12412.0,6967314.0
404,Tennessee,2022,64300.0,58097.0,787.0,10897.0,1973.0,2156.0,896.0,3068.0,762.0,913.0,1625.0,13718.0,3116.0,6207.0,5038.0,7059618.0
405,Texas,2014,189542.0,174338.0,4290.0,40015.0,5504.0,6940.0,3642.0,9965.0,2795.0,4140.0,2781.0,42727.0,10181.0,0.0,0.0,26964333.0
406,Texas,2015,191123.0,175603.0,4464.0,39426.0,5544.0,8934.0,3240.0,10293.0,2820.0,4093.0,2460.0,43562.0,10602.0,0.0,0.0,27470056.0
407,Texas,2016,193135.0,176895.0,4293.0,40453.0,5490.0,9135.0,2897.0,10160.0,2967.0,4168.0,2491.0,43982.0,10791.0,0.0,0.0,27914410.0
408,Texas,2017,199625.0,182895.0,4357.0,41059.0,5862.0,9553.0,2970.0,10749.0,3207.0,4332.0,2408.0,45498.0,10915.0,0.0,0.0,28295273.0
409,Texas,2018,203781.0,187002.0,4464.0,41266.0,6006.0,9789.0,3579.0,10877.0,3326.0,4581.0,2421.0,46981.0,10919.0,0.0,0.0,28628666.0
410,Texas,2019,205107.0,187325.0,3125.0,41934.0,6936.0,10144.0,3208.0,10869.0,3021.0,4236.0,1686.0,46429.0,10983.0,0.0,0.0,28995881.0
411,Texas,2020,257463.0,236962.0,3528.0,43248.0,8169.0,12202.0,3644.0,10676.0,3003.0,4539.0,1858.0,51573.0,12024.0,34128.0,31937.0,29145505.0
412,Texas,2021,270280.0,247651.0,3631.0,42973.0,8174.0,10463.0,2987.0,10087.0,3217.0,4574.0,2354.0,50911.0,12116.0,48282.0,44823.0,29545499.0
413,Texas,2022,178576.0,163788.0,2609.0,31771.0,5643.0,7549.0,1960.0,7144.0,2609.0,3556.0,4767.0,35971.0,9061.0,16529.0,13545.0,29947238.0
414,Utah,2014,17563.0,15530.0,0.0,3181.0,482.0,464.0,165.0,760.0,10.0,145.0,125.0,3598.0,899.0,0.0,0.0,2936879.0
415,Utah,2015,17755.0,15658.0,0.0,3168.0,517.0,907.0,166.0,786.0,35.0,125.0,47.0,3653.0,926.0,0.0,0.0,2981835.0
416,Utah,2016,18366.0,16242.0,0.0,3195.0,550.0,912.0,209.0,865.0,10.0,142.0,210.0,3705.0,947.0,0.0,0.0,3041868.0
417,Utah,2017,18579.0,16463.0,20.0,3251.0,528.0,1014.0,133.0,812.0,67.0,134.0,126.0,3896.0,928.0,0.0,0.0,3101042.0
418,Utah,2018,18931.0,16743.0,0.0,3351.0,556.0,1049.0,182.0,884.0,31.0,56.0,35.0,3859.0,958.0,0.0,0.0,3153550.0
419,Utah,2019,19329.0,17137.0,0.0,3373.0,631.0,977.0,142.0,851.0,53.0,134.0,55.0,4017.0,927.0,0.0,0.0,3205958.0
420,Utah,2020,22513.0,20093.0,0.0,3580.0,753.0,1161.0,81.0,953.0,46.0,76.0,0.0,4457.0,961.0,1662.0,1427.0,3271616.0
421,Utah,2021,23456.0,20935.0,33.0,3594.0,827.0,1021.0,31.0,868.0,45.0,122.0,39.0,4415.0,919.0,2636.0,2381.0,3322389.0
422,Utah,2022,16556.0,14924.0,22.0,2658.0,560.0,790.0,12.0,654.0,54.0,96.0,269.0,3338.0,727.0,1006.0,739.0,3426431.0
423,Vermont,2014,5620.0,5135.0,0.0,1387.0,0.0,11.0,0.0,88.0,0.0,0.0,0.0,1322.0,20.0,0.0,0.0,625214.0
424,Vermont,2015,5735.0,5256.0,0.0,1362.0,0.0,33.0,10.0,85.0,0.0,0.0,0.0,1284.0,10.0,0.0,0.0,625216.0
425,Vermont,2016,5752.0,5201.0,0.0,1327.0,0.0,41.0,0.0,112.0,0.0,0.0,0.0,1324.0,24.0,0.0,0.0,623657.0
426,Vermont,2017,5748.0,5225.0,0.0,1394.0,0.0,127.0,0.0,88.0,0.0,0.0,0.0,1273.0,10.0,0.0,0.0,624344.0
427,Vermont,2018,5766.0,5159.0,0.0,1340.0,0.0,87.0,0.0,76.0,0.0,0.0,0.0,1300.0,10.0,0.0,0.0,624358.0
428,Vermont,2019,5641.0,5115.0,0.0,1323.0,0.0,64.0,0.0,26.0,0.0,0.0,0.0,1310.0,0.0,0.0,0.0,623989.0
429,Vermont,2020,6253.0,5638.0,0.0,1382.0,0.0,33.0,0.0,92.0,0.0,0.0,0.0,1524.0,10.0,107.0,96.0,643077.0
